facility_id_cphl,Facility_CPHL,Level,Hub,DHIS2_Facility_Sync,Level_DHIS2,Facility_uid,Coordinates_DHIS2,Ownership_DHIS2,Authority_DHIS2,Subcounty_DHIS2,Subcounty_uid,District_CPHL,District_DHIS2,District_uid,Region_CPHL,Region_DHIS2,Region_uid
6,Abongomola HC III,HC III,Apac Hub ,Abongomola HC III,HC III,xzRSc5XHzys,"[32.83161,1.9996]",Government,0,Abongomola Subcounty,JyZJhGXKeEq,Apac,Apac District,JyZJhGXKeEq,Mid Northern,Northern Region,pz9Uu65Irbg
0,Abwoch HC II,HC II,Lalogi Hub ,Abwoch HC II,HC II,JryqknC2SNp,"[32.28180,2.70519]",Government,MOH,Ongako Subcounty,S5fvUXgY54J,Gulu,Omoro District,S5fvUXgY54J,Mid Northern,Northern Region,pz9Uu65Irbg
0,Acet HC II,HC II,Lalogi Hub ,Acet HC II,HC II,aaEtUWpmosm,"[32.65478,2.68794]",Government,MOH,Odek Subcounty,S5fvUXgY54J,Gulu,Omoro District,S5fvUXgY54J,Mid Northern,Northern Region,pz9Uu65Irbg
0,Achol Pii Millitary HC IV,Hospital,Kalongo Hub,,,,,,,,,Pader,,,Mid Northern,,
9,Acholi-Bur HC III,HC III,Pajule Hub ,Acholi-Bur HC III,HC III,KgFiiUmrRxI,"[32.91527,3.15405]",Government,MOH,Acholibur Subcounty,aBrjuZk0W31,Pader,Pader District,aBrjuZk0W31,Mid Northern,Northern Region,pz9Uu65Irbg
8,Acholpii HC III,HC III,Pajule Hub ,Acholpii HC III,HC III,aKoVWgIufTx,"[33.099431,2.697541]",Government,MOH,Arum Subcounty,ztIyIYAzFKp,Agago,Agago District,ztIyIYAzFKp,Mid Northern,Northern Region,pz9Uu65Irbg
0,Acowa HC III,HC III,Amuria Hub,Acowa HC III,HC III,krIH36G6xhy,"[33.79804,2.07524]",Government,MOH,Acowa Subcounty,TM6ccNxawqy,Amuria,Amuria District,TM6ccNxawqy,North East,Eastern Region,adZ6T35ve4h
0,Acumet  HC   III,HC III,Amuria Hub,St. Francis Acumet HC III,HC III,GynTVP1Cc2t,"[33.73288,2.18516]",Private Not For Profit,UCMB,Kapelebyong Subcounty,TM6ccNxawqy,Amuria,Amuria District,TM6ccNxawqy,North East,Eastern Region,adZ6T35ve4h
0,Adea HC II,HC II,Abim Hub,Adea HC II,HC II,vXlnJIdin7f,"[33.66472,2.51721]",Government,MOH,Morulem Subcounty,NREoMszwQZW,Abim,Abim District,NREoMszwQZW,North East,Northern Region,pz9Uu65Irbg
0,Adilang HC III,HC III,Kalongo Hub,Adilang HC III,HC III,FvewOonC8lS,"[33.47525,2.74138]",Government,MOH,Adilang Subcounty,ztIyIYAzFKp,Agago,Agago District,ztIyIYAzFKp,Mid Northern,Northern Region,pz9Uu65Irbg
10,Adjumani   HOSPITAL,Hospital,Adjumani Hub,Adjumani   HOSPITAL,General Hospital,hvtKTUxWNrt,"[31.791966,3.377464]",Government,MOH,Adjumani Town Council,QYiQ2KqgCxj,Adjumani,Adjumani District,QYiQ2KqgCxj,West Nile,Northern Region,pz9Uu65Irbg
0,Adjumani Mission HC III,HC III,Adjumani Hub,Adjumani Mission HC III,HC III,aoqEF4fUP18,"[31.782109,3.378619]",Private Not For Profit,UCMB,Adjumani Town Council,QYiQ2KqgCxj,Adjumani,Adjumani District,QYiQ2KqgCxj,West Nile,Northern Region,pz9Uu65Irbg
11,Adok HC II,HC II,Dokolo Hub,Adok HC II,HC II,tdWJ67qCYZK,"[32.918235,1.990526]",Government,MOH,Adok Subcounty,wMQ25dybdgH,Dokolo,Dokolo District,wMQ25dybdgH,Mid Northern,Northern Region,pz9Uu65Irbg
12,Aduku HC II (NGO),HC II,Apac Hub ,Aduku Mission HC II,HC II,YrbvkUaWpi1,"[32.71184,1.99291]",Private Not For Profit,UCMB,Aduku Town Council,JyZJhGXKeEq,Apac,Apac District,JyZJhGXKeEq,Mid Northern,Northern Region,pz9Uu65Irbg
13,Aduku HC IV,HC IV,Apac Hub ,Aduku HC IV,HC IV,WEH3aMvIS0B,"[32.71821,1.99544]",Government,MOH,Aduku Town Council,JyZJhGXKeEq,Apac,Apac District,JyZJhGXKeEq,Mid Northern,Northern Region,pz9Uu65Irbg
0,Adumi HC IV,HC IV,Arua Hub,Adumi HC IV,HC IV,H7pcxkjHX8T,"[30.83332,3.04145]",Government,MOH,Adumi Subcounty,WcB3kLlgRTb,Arua,Arua District,WcB3kLlgRTb,West Nile,Northern Region,pz9Uu65Irbg
14,Agali HC III,HC III,Lira Hub,Agali HC III,HC III,I9nJzN3m8qL,"[33.11322,2.12750]",Government,MOH,Agali Subcounty,Lj8t70RYnEt,Lira,Lira District,Lj8t70RYnEt,Mid Northern,Northern Region,pz9Uu65Irbg
0,Aganga HC II,HC II,Apac Hub ,Aganga HC II,HC II,Qjo6d9XrGLZ,"[32.18652,1.76227]",Government,MOH,Ibuje Subcounty,JyZJhGXKeEq,Apac,Apac District,JyZJhGXKeEq,Mid Northern,Northern Region,pz9Uu65Irbg
0,Agape HC III,HC III,Kiboga Hub,Agape Nursing Home CLINIC,Clinic,Jap4sosMZZN,"[31.76535,0.91937]",Private For Profit,0,Kiboga Town Council,GLHh0BXys9w,Kiboga,Kiboga District,GLHh0BXys9w,Central 2,Central Region,VA90IqaI4Ji
0,Agaria  HC II,HC II,Atutur Hub,Agaria  HC II,HC II,l9hCccYpw87,"[33.78289,1.35049]",Government,MOH,Mukongoro Subcounty,saT18HClZoz,Kumi,Kumi District,saT18HClZoz,North East,Eastern Region,adZ6T35ve4h
0,Ageteraine Nursing Home,Special Clinic,FortPortal Hub,Ageteraine Nursing Home,HC II,Qlkl4NZqpFm,0,Government,MOH,South Division,m77oR1YJESj,Kabarole,Kabarole District,m77oR1YJESj,Mid Western,Western Region,auJdpeHbeet
0,Agiermach HC III,HC III,Warr Hub ,Warr Agiermach HC III,HC III,vFo5oNkc7Nn,"[30.86262,2.57507]",Private Not For Profit,UCMB,Warr Subcounty,A4aGXEfdb8P,Zombo,Zombo District,A4aGXEfdb8P,West Nile,Northern Region,pz9Uu65Irbg
0,Agirigiroi HC II,HC II,Soroti Hub,Agirigiroi HC II,HC II,PCvI4E289K1,"[33.59886,1.93492]",Government,MOH,Arapai Subcounty,srmGjHrpVE5,Soroti,Soroti District,srmGjHrpVE5,North East,Eastern Region,adZ6T35ve4h
15,Agoro HC III,HC III,Madi Opei Hub,Lamwo Agoro HC III GOVT,HC III,tvKjvN8d4rR,"[33.01783,3.80292]",Government,MOH,Agoro Subcounty,xy0M4HhjXtD,Lamwo,Lamwo District,xy0M4HhjXtD,Mid Northern,Northern Region,pz9Uu65Irbg
0,Agu HC III,HC III,Ngora Hub ,Agu HC III,HC III,S70E0FJrMtU,"[33.72305,1.4736]",Government,MOH,Ngora Subcounty,aj4hsYK3dVm,Ngora,Ngora District,aj4hsYK3dVm,North East,Eastern Region,adZ6T35ve4h
0,Agule HC III,HC III,Pallisa Hub,Agule HC III,HC III,aMrHxMQoKXP,"[33.71188,1.28066]",Government,MOH,Agule Subcounty,WiVj4bEhX4P,Pallisa,Pallisa District,WiVj4bEhX4P,Mid Eastern,Eastern Region,adZ6T35ve4h
18,Agulurude HC III,HC III,Aber Hub,Agulurude HC III,HC III,aes9vvQi4Df,"[32.6103,2.2945]",Government,MOH,Loro Subcounty,xpIFdCMhVHG,Oyam,Oyam District,xpIFdCMhVHG,Mid Northern,Northern Region,pz9Uu65Irbg
0,Agurut HC II,HC II,Atutur Hub,Agurut HC II,HC II,D6wxWnyZ0vc,"[33.89529,1.46231]",Government,MOH,Nyero Subcounty,saT18HClZoz,Kumi,Kumi District,saT18HClZoz,North East,Eastern Region,adZ6T35ve4h
19,Agwatta HC III,HC III,Dokolo Hub,Agwatta HC III,HC III,sYHZIUFx50X,"[33.048827,1.984366]",Government,MOH,Agwata Subcounty,wMQ25dybdgH,Dokolo,Dokolo District,wMQ25dybdgH,Mid Northern,Northern Region,pz9Uu65Irbg
0,Ahamadiya HC III,HC III,Mbale Hub,Ahamadiya HC III,HC III,potmv2l4HbN,0,Private Not For Profit,UMMB,Mbale Northern Division,yuo5ielNL7W,Mbale,Mbale District,yuo5ielNL7W,Mid Eastern,Eastern Region,adZ6T35ve4h
0,AIC Amuria branch CLINIC,Special Clinic,Amuria Hub,,,,,,,,,Amuria,,,North East,,
0,AIC Arua Main Branch CLINIC,Special Clinic,Arua Hub,AIC Arua Main Branch CLINIC,Clinic,XpJak3aZzRX,0,NGO,CSO,Oli River Division,WcB3kLlgRTb,Arua,Arua District,WcB3kLlgRTb,West Nile,Northern Region,pz9Uu65Irbg
0,AIC Jinja Main Branch,Special Clinic,Jinja Hub,AIC Jinja Main Branch,Clinic,ndyRWKL0fDH,0,Private Not For Profit,CSO,Jinja Central Division,aJR2ZxSH7g4,Jinja,Jinja District,aJR2ZxSH7g4,East Central,Eastern Region,adZ6T35ve4h
0,AIC Kabale Main Branch CLINIC,Special Clinic,Kabale Hub,AIC Kabale Main Branch CLINIC,Clinic,s0sTvb5DnDP,0,NGO,CSO,Kabale Southern Division,zBIpPzKYFLp,Kabale,Kabale District,zBIpPzKYFLp,South Western,Western Region,auJdpeHbeet
0,AIC Kampala Main Branch HC IV,Special Clinic,Kampala Hub,AIC Kampala Main Branch HC IV,Clinic,rxoAz9lkuSi,"[32.56755,0.30757]",Private Not For Profit,0,Kampala Central Division,aXmBzv61LbM,Kampala,Kampala District,aXmBzv61LbM,Kampala,Central Region,VA90IqaI4Ji
0,AIC Mbale Main Branch CLINIC,Medical Centre,Mbale Hub,AIC Mbale Main Branch CLINIC,Clinic,v9p3jFvYYtP,0,Private Not For Profit,0,Industrial Division,yuo5ielNL7W,Mbale,Mbale District,yuo5ielNL7W,Mid Eastern,Eastern Region,adZ6T35ve4h
0,AIC Mbarara Main Branch CLINIC,Special Clinic,Mbarara Hub,AIC Mbarara Main Branch CLINIC,Clinic,sPWbPZtb3ut,0,Private Not For Profit,0,Kakoba Division,auswb7JO9wY,Mbarara,Mbarara District,auswb7JO9wY,South Western,Western Region,auJdpeHbeet
0,AIC Soroti Branch CLINIC,Special Clinic,Soroti Hub,AIC Soroti Branch CLINIC,Clinic,p0gQCb29YsS,0,NGO,CSO,Soroti Western Division,srmGjHrpVE5,Soroti,Soroti District,srmGjHrpVE5,North East,Eastern Region,adZ6T35ve4h
0,Ajeluk HC III,HC III,Ngora Hub ,Ajeluk HC III,HC III,X8l6y8IN4z9,"[33.82414,1.54869]",Government,MOH,Mukura Subcounty,aj4hsYK3dVm,Ngora,Ngora District,aj4hsYK3dVm,North East,Eastern Region,adZ6T35ve4h
0,Ajia HC III,HC III,Arua Hub,Ajia HC III,HC III,apgOmUgDNge,"[31.02721,2.91913]",Government,MOH,Ajia Subcounty,WcB3kLlgRTb,Arua,Arua District,WcB3kLlgRTb,West Nile,Northern Region,pz9Uu65Irbg
20,Akalo HC III,HC III,Lira Hub,Akalo HC III,HC III,h9Jydxolx2q,"[32.83888,2.14899]",Government,MOH,Akalo Subcounty,Y4LV8xqkv6J,Kole,Kole District,Y4LV8xqkv6J,Mid Northern,Northern Region,pz9Uu65Irbg
0,Aketa HC III,HC III,Katakwi Hub,Aketa HC III,HC III,fFMFDu21aWq,"[33.95066,2.11533]",Government,Local Government,Ongongoja Subcounty,cSrCFjPKqcG,Katakwi ,Katakwi District,cSrCFjPKqcG,North East,Eastern Region,adZ6T35ve4h
0,Akide HC II,HC II,Atutur Hub,Akide HC II,HC II,Kf1o8kvbbaS,"[34.04329,1.59938]",Government,MOH,Ongino Subcounty,saT18HClZoz,Kumi,Kumi District,saT18HClZoz,North East,Eastern Region,adZ6T35ve4h
0,Akilok HC II,HC II,Kitgum Hub,Akilok HC II,HC II,GHx4dLfIox3,"[33.48407,3.55495]",Government,MOH,Orom Subcounty,pnTVIF5v27r,Kitgum,Kitgum District,pnTVIF5v27r,Mid Northern,Northern Region,pz9Uu65Irbg
21,Akokoro HC III,HC III,Apac Hub ,Akokoro HC III,HC III,rjOHz4O83zh,"[32.39149,1.69949]",Government,MOH,Akokoro Subcounty,JyZJhGXKeEq,Apac,Apac District,JyZJhGXKeEq,Mid Northern,Northern Region,pz9Uu65Irbg
22,Akuna Laber HC III,HC III,Kitgum Hub,Akuna Laber HC III,HC III,aWMoXZucGiV,"[33.0968152,3.2076572]",Government,MOH,Lagoro Subcounty,pnTVIF5v27r,Kitgum,Kitgum District,pnTVIF5v27r,Mid Northern,Northern Region,pz9Uu65Irbg
0,Akura HC II,HC II,Alebtong Hub ,Akura HC II,HC II,zkvmBd2YoxG,"[33.10387,2.35375]",Government,MOH,Akura Subcounty,p7EEgDEX3jT,Alebtong,Alebtong District,p7EEgDEX3jT,Mid Northern,Northern Region,pz9Uu65Irbg
0,Akurao HC II,HC II,Katakwi Hub,Akurao HC II,HC II,go8pa2yrjbk,"[33.95212,1.68467]",Government,MOH,Toroma Subcounty,cSrCFjPKqcG,Katakwi ,Katakwi District,cSrCFjPKqcG,North East,Eastern Region,adZ6T35ve4h
0,Akworo HC III,HC III,Nebbi Hub,Akworo HC III,HC III,gBiYU9OJgsv,"[31.220406,2.246568]",Government,MOH,Akworo Subcounty,Xjc0LDFa5gW,Nebbi,Nebbi District,Xjc0LDFa5gW,West Nile,Northern Region,pz9Uu65Irbg
0,Alakas HC II,HC II,Tokora Hub,Alakas HC II,HC II,etUWDKFTBfq,"[34.90565,1.84317]",Government,MOH,Amudat Subcounty,a8RHFdF4DXL,Nakapiripirit,Amudat District,a8RHFdF4DXL,North East,Northern Region,pz9Uu65Irbg
0,Alangi HC III,HC III,Warr Hub ,Alangi HC III,HC III,apEUhKfLxjY,"[30.80899,2.584050]",Government,MOH,Kango Subcounty,A4aGXEfdb8P,Zombo,Zombo District,A4aGXEfdb8P,West Nile,Northern Region,pz9Uu65Irbg
0,Alango HC II,HC II,Lira Hub,Alango HC II,HC II,YkLkGLk2Xxz,"[33.18819,2.46657]",Government,MOH,Adwari Subcounty,aXjub1BYn1y,Otuke,Otuke District,aXjub1BYn1y,Mid Northern,Northern Region,pz9Uu65Irbg
0,Alanyi HC III,HC III,Alebtong Hub ,Alanyi HC III,HC III,pk373UmcJEF,"[33.26303,2.13244]",Private Not For Profit,UCMB,Abako Subcounty,p7EEgDEX3jT,Alebtong,Alebtong District,p7EEgDEX3jT,Mid Northern,Northern Region,pz9Uu65Irbg
0,Alapata HC II,HC II,Dokolo Hub,Alapata HC II,HC II,qBVBH0yzctn,0,Government,MOH,Bata Subcounty,wMQ25dybdgH,Dokolo,Dokolo District,wMQ25dybdgH,Mid Northern,Northern Region,pz9Uu65Irbg
23,Alebtong HC IV,HC IV,Alebtong Hub ,Alebtong HC IV,HC IV,RdmsO9Kftg9,"[33.23659,2.26365]",Government,MOH,Alebtong Subcounty,p7EEgDEX3jT,Alebtong,Alebtong District,p7EEgDEX3jT,Mid Northern,Northern Region,pz9Uu65Irbg
0,Alemere HC II,HC II,Amolatar Hub,Alemere HC II,HC II,OMRlmYUqpLa,"[32.81519,1.63635]",Private Not For Profit,0,Amolatar Town Council,ZuQHWOaFQVM,Amolatar,Amolatar District,ZuQHWOaFQVM,Mid Northern,Northern Region,pz9Uu65Irbg
0,Alenga HC III,HC III,Apac Hub ,Alenga HC III,HC III,eR77udlIWIM,"[32.34985,1.85142]",Private Not For Profit,UCMB,Ibuje Subcounty,JyZJhGXKeEq,Apac,Apac District,JyZJhGXKeEq,Mid Northern,Northern Region,pz9Uu65Irbg
24,Alerek HC III,HC III,Abim Hub,Alerek HC III,HC III,RLWAwgTDjSJ,"[33.73088,2.95626]",Government,MOH,Alerek Subcounty,NREoMszwQZW,Abim,Abim District,NREoMszwQZW,North East,Northern Region,pz9Uu65Irbg
25,Alero HC III,HC III,Anaka Hub,Alero HC III,HC III,EPyMwPkmKPx,"[32.02553,2.68719]",Government,MOH,Alero Subcounty,zNgVoDVPYgD,Nwoya,Nwoya District,zNgVoDVPYgD,Mid Northern,Northern Region,pz9Uu65Irbg
0,Aliakamer HC II,HC II,Katakwi Hub,Aliakamer HC II,HC II,QdaoAlMf1Tz,"[33.93285,1.94648]",Government,MOH,Katakwi Subcounty,cSrCFjPKqcG,Katakwi ,Katakwi District,cSrCFjPKqcG,North East,Eastern Region,adZ6T35ve4h
0,Aliba HC III,HC III,Moyo Hub,Aliba HC III,HC III,AZRfSZ46cbp,"[31.53118,3.22009]",Government,MOH,Aliba Subcounty,W0kQBddyGyh,Moyo,Moyo District,W0kQBddyGyh,West Nile,Northern Region,pz9Uu65Irbg
0,Alim HC II,HC II,Kalongo Hub,Alim HC II,HC II,SFDIr8urO72,"[32.95704,2.86428]",Government,MOH,Lapul Subcounty,aBrjuZk0W31,Pader,Pader District,aBrjuZk0W31,Mid Northern,Northern Region,pz9Uu65Irbg
26,Alito HC III,HC III,Lira Hub,Alito HC III,HC III,avAlXE2E7Re,"[32.85962,2.44245]",Government,MOH,Alito Subcounty,Y4LV8xqkv6J,Kole,Kole District,Y4LV8xqkv6J,Mid Northern,Northern Region,pz9Uu65Irbg
27,Alive Medical Services HC III,HC III,Kampala Hub,Alive Medical Services HC III,HC III,PHhcBpjIWvL,"[32.61026,0.30972]",Private Not For Profit,UPMB,Makindye Division,aXmBzv61LbM,Kampala,Kampala District,aXmBzv61LbM,Kampala,Central Region,VA90IqaI4Ji
0,Aliwa HC III,HC III,Kaberamaido Hub,,,,,,,,,Kaberamaido,,,North East,,
0,Aliwang HC III,HC II,Alebtong Hub ,Aliwang HC III,HC III,L4ABgSqNsXd,"[33.28265,2.42806]",Private Not For Profit,UCMB,Adwari Subcounty,aXjub1BYn1y,Otuke,Otuke District,aXjub1BYn1y,Mid Northern,Northern Region,pz9Uu65Irbg
0,All Saints HC II,HC II,Pajule Hub ,All Saints HC II,HC II,M2Es7QYNu3D,"[32.94147,2.61919]",Private Not For Profit,0,Puranga Subcounty,aBrjuZk0W31,Pader,Pader District,aBrjuZk0W31,Mid Northern,Northern Region,pz9Uu65Irbg
0,Allustin HC III,HC III,Kagadi Hub,Alustin Clinic HC II,HC II,jEWfNHf8Ayt,0,Private Not For Profit,Local Government,Kasimbi Subcounty,tM3DsJxMaMX,Kibaale,Kibaale District,tM3DsJxMaMX,Mid Western,Western Region,auJdpeHbeet
0,Alnoor HC II,HC II,Yumbe Hub,Alnoor HC II,HC II,A4g2J49bMOr,"[31.2548,3.54013]",Government,MOH,Kochi SubCounty,W1JM2Qdhcv3,Yumbe,Yumbe District,W1JM2Qdhcv3,West Nile,Northern Region,pz9Uu65Irbg
0,Aloi Mission HC III,HC III,Alebtong Hub ,Aloi Mission HC III,HC III,q2vSqN5xoZL,"[33.13966,2.26562]",Private Not For Profit,UCMB,Akura Subcounty,p7EEgDEX3jT,Alebtong,Alebtong District,p7EEgDEX3jT,Mid Northern,Northern Region,pz9Uu65Irbg
0,Alokolum HC II,HC II,Lalogi Hub ,Alokolum HC II,HC II,YLwAhOTWHrQ,"[32.22689,2.75860]",Government,MOH,Ongako Subcounty,S5fvUXgY54J,Gulu,Omoro District,S5fvUXgY54J,Mid Northern,Northern Region,pz9Uu65Irbg
0,Alwa HC III,HC III,Kaberamaido Hub,Alwa HC III,HC III,VEc0XL8e8Sa,"[33.16971,1.84873]",Government,MOH,Alwa Subcounty,QoRZB7xc3j9,Kaberamaido,Kaberamaido District,QoRZB7xc3j9,North East,Eastern Region,adZ6T35ve4h
0,Alwi HC III,HC III,Nebbi Hub,Alwi HC III,HC III,KLEPRYA9Nge,"[31.36091,2.46823]",Government,MOH,Alwii Sub County,Xjc0LDFa5gW,Nebbi,Nebbi District,Xjc0LDFa5gW,West Nile,Northern Region,pz9Uu65Irbg
29,Amach HC IV,HC IV,Lira Hub,Amach HC IV,HC IV,ah2PY0hhVkV,"[33.00555,2.11163]",Government,MOH,Amach Subcounty,Lj8t70RYnEt,Lira,Lira District,Lj8t70RYnEt,Mid Northern,Northern Region,pz9Uu65Irbg
30,Amai Community Hospital,Hospital,Amolatar Hub,Amai Community Hospital,General Hospital,Zk9bvpSxThA,"[32.920015,1.793306]",Private Not For Profit,UPMB,Aputi Subcounty,ZuQHWOaFQVM,Amolatar,Amolatar District,ZuQHWOaFQVM,Mid Northern,Northern Region,pz9Uu65Irbg
0,Amaler HC III,HC III,Tokora Hub,Amaler HC III,HC III,t8qKMFFAO22,"[34.587522,1.795798]",Private Not For Profit,UCMB,Namalu Subcounty,VuHCApXcMTm,Nakapiripirit,Nakapiripirit District,VuHCApXcMTm,North East,Northern Region,pz9Uu65Irbg
0,AMG Bugongi- Hope Medical Center,,kitagata Hub,Bugongi HC III,HC III,RrvmrGFqy38,"[30.25571,-0.63270]",Government,MOH,Bugongi Town Council,xAJgEKKAeRA,Sheema,Sheema District,xAJgEKKAeRA,South Western,Western Region,auJdpeHbeet
31,Amolatar HC IV,HC IV,Amolatar Hub,Amolatar HC IV,HC IV,XazfKCvCCLS,"[32.842983,1.640539]",Government,MOH,Amolatar Town Council,ZuQHWOaFQVM,Amolatar,Amolatar District,ZuQHWOaFQVM,Mid Northern,Northern Region,pz9Uu65Irbg
32,Amuca SDA HC III,HC III,Lira Hub,Amuca SDA HC III,HC III,pNHDdE8BJt8,"[32.85441,2.26656]",Private Not For Profit,UPMB,Lira Subcounty,Lj8t70RYnEt,Lira,Lira District,Lj8t70RYnEt,Mid Northern,Northern Region,pz9Uu65Irbg
0,Amucu HC III,HC III,Amuria Hub,Amucu HC III,HC III,N8L6gKVGOCM,"[33.67408,2.05113]",NGO,UCMB,Apeduru Subcounty,TM6ccNxawqy,Amuria,Amuria District,TM6ccNxawqy,North East,Eastern Region,adZ6T35ve4h
0,Amuda HC II,HC II,Dokolo Hub,Amuda HC II,HC II,GhPOJYsK5di,"[32.99813,1.98568]",Private Not For Profit,UCMB,Agwata Subcounty,wMQ25dybdgH,Dokolo,Dokolo District,wMQ25dybdgH,Mid Northern,Northern Region,pz9Uu65Irbg
0,Amudat Hospital,Hospital,Tokora Hub,Amudat Hospital,General Hospital,gVSFfQXW1J2,"[34.936195,1.944409]",Private Not For Profit,UPMB,Amudat Town Council,a8RHFdF4DXL,Amudat,Amudat District,a8RHFdF4DXL,North East,Northern Region,pz9Uu65Irbg
35,Amugu HC III,HC III,Alebtong Hub ,Amugu HC III,HC III,acBVtDN7cmd,"[33.24205,2.10163]",Government,MOH,Amugo Subcounty,p7EEgDEX3jT,Alebtong,Alebtong District,p7EEgDEX3jT,Mid Northern,Northern Region,pz9Uu65Irbg
0,Amuria HC IV,HC IV,Amuria Hub,Amuria HC IV,HC IV,oRHreBW5Tyr,"[33.64034,2.03481]",Government,MOH,Amuria Town Council,TM6ccNxawqy,Amuria,Amuria District,TM6ccNxawqy,North East,Eastern Region,adZ6T35ve4h
37,Amuru HC III,HC III,Gulu Hub,Amuru HC III,HC III,aFgrVHVDqoZ,"[32.022891,2.812358]",Government,UCMB,Amuru Subcounty,C0RSe3EWBqU,Gulu,Amuru District,C0RSe3EWBqU,Mid Northern,Northern Region,pz9Uu65Irbg
0,Amusus HC II,HC II,Amuria Hub,Amusus HC III,HC III,kwd5xyrWwvO,"[33.56362,2.12311]",Government,MOH,Kuju Subcounty,TM6ccNxawqy,Amuria,Amuria District,TM6ccNxawqy,North East,Eastern Region,adZ6T35ve4h
