id,district,dhis2_name,dhis2_uid,mapCode,regionID,created,createdby
63,Mbarara,NULL,NULL,UG.RR,13,"2014-07-14 11:02:44",samuel@trailanalytics.com
64,Mityana,NULL,NULL,UG.TY,6,"2014-07-14 11:02:44",samuel@trailanalytics.com
65,Moroto,NULL,NULL,UG.MT,12,"2014-07-14 11:02:44",samuel@trailanalytics.com
66,Moyo,NULL,NULL,UG.MY,14,"2014-07-14 11:02:44",samuel@trailanalytics.com
67,Mpigi,NULL,NULL,UG.MI,5,"2014-07-14 11:02:44",samuel@trailanalytics.com
68,Mubende,"Mubende District",lzWuB6bCQeV,UG.MD,6,"2014-07-14 11:02:44",samuel@trailanalytics.com
69,Mukono,NULL,NULL,UG.MN,6,"2014-07-14 11:02:44",samuel@trailanalytics.com
70,Nakapiripirit,"Nakapiripirit District",VuHCApXcMTm,UG.NP,12,"2014-07-14 11:02:44",samuel@trailanalytics.com
71,Nakaseke,NULL,NULL,UG.NK,6,"2014-07-14 11:02:44",samuel@trailanalytics.com
72,Nakasongola,NULL,NULL,UG.NA,6,"2014-07-14 11:02:44",samuel@trailanalytics.com
73,Namutumba,NULL,NULL,UG.NM,7,"2014-07-14 11:02:44",samuel@trailanalytics.com
74,Nebbi,NULL,NULL,UG.NE,14,"2014-07-14 11:02:44",samuel@trailanalytics.com
75,Ntungamo,NULL,NULL,UG.NT,13,"2014-07-14 11:02:44",samuel@trailanalytics.com
77,Oyam,NULL,NULL,UG.OY,10,"2014-07-14 11:02:44",samuel@trailanalytics.com
78,Pader,"Pader District",aBrjuZk0W31,UG.PD,10,"2014-07-14 11:02:44",samuel@trailanalytics.com
79,Pallisa,NULL,NULL,UG.PL,9,"2014-07-14 11:02:44",samuel@trailanalytics.com
80,Rakai,NULL,NULL,UG.RA,5,"2014-07-14 11:02:44",samuel@trailanalytics.com
81,Rukungiri,NULL,NULL,UG.RK,13,"2014-07-14 11:02:44",samuel@trailanalytics.com
82,Ssembabule,NULL,NULL,UG.SE,5,"2014-07-14 11:02:44",samuel@trailanalytics.com
83,Sironko,NULL,NULL,UG.SI,9,"2014-07-14 11:02:44",samuel@trailanalytics.com
84,Soroti,NULL,NULL,UG.SR,12,"2014-07-14 11:02:44",samuel@trailanalytics.com
85,Tororo,NULL,NULL,UG.TR,9,"2014-07-14 11:02:44",samuel@trailanalytics.com
86,Wakiso,"Wakiso District",aIahLLmtvgT,UG.WA,5,"2014-07-14 11:02:44",samuel@trailanalytics.com
87,Yumbe,NULL,NULL,UG.YU,14,"2014-07-14 11:02:44",samuel@trailanalytics.com
88,Butambala,NULL,NULL,,5,"2014-07-14 11:02:44",samuel@trailanalytics.com
89,Gomba,NULL,NULL,,5,"2014-07-14 11:02:44",samuel@trailanalytics.com
90,Kalungu,NULL,NULL,,5,"2014-07-14 11:02:44",samuel@trailanalytics.com
91,Kyankwanzi,NULL,NULL,,6,"2014-07-14 11:02:44",samuel@trailanalytics.com
92,Lwengo,NULL,NULL,,5,"2014-07-14 11:02:44",samuel@trailanalytics.com
93,Bukomansimbi,NULL,NULL,,5,"2014-07-14 11:02:44",samuel@trailanalytics.com
94,Bulambuli,NULL,NULL,,9,"2014-07-14 11:02:44",samuel@trailanalytics.com
95,Kibuku,NULL,NULL,,9,"2014-07-14 11:02:44",samuel@trailanalytics.com
96,Kween,NULL,NULL,,9,"2014-07-14 11:02:44",samuel@trailanalytics.com
97,Luuka,NULL,NULL,,7,"2014-07-14 11:02:44",samuel@trailanalytics.com
98,Namayingo,NULL,NULL,,7,"2014-07-14 11:02:44",samuel@trailanalytics.com
99,Ngora,NULL,NULL,,12,"2014-07-14 11:02:44",samuel@trailanalytics.com
100,Serere,NULL,NULL,,12,"2014-07-14 11:02:44",samuel@trailanalytics.com
101,Agago,NULL,NULL,,10,"2014-07-14 11:02:44",samuel@trailanalytics.com
102,Alebtong,NULL,NULL,,10,"2014-07-14 11:02:44",samuel@trailanalytics.com
103,Amudat,NULL,NULL,,12,"2014-07-14 11:02:44",samuel@trailanalytics.com
104,Kole,NULL,NULL,,10,"2014-07-14 11:02:44",samuel@trailanalytics.com
105,Napak,NULL,NULL,,12,"2014-07-14 11:02:44",samuel@trailanalytics.com
106,Nwoya,NULL,NULL,,10,"2014-07-14 11:02:44",samuel@trailanalytics.com
107,Otuke,"Otuke District",aXjub1BYn1y,,10,"2014-07-14 11:02:44",samuel@trailanalytics.com
108,Zombo,NULL,NULL,,14,"2014-07-14 11:02:44",samuel@trailanalytics.com
109,Buhweju,NULL,NULL,,13,"2014-07-14 11:02:44",samuel@trailanalytics.com
110,Kiryandongo,NULL,NULL,,11,"2014-07-14 11:02:44",samuel@trailanalytics.com
111,Mitooma,NULL,NULL,,13,"2014-07-14 11:02:44",samuel@trailanalytics.com
112,Ntoroko,NULL,NULL,,11,"2014-07-14 11:02:44",samuel@trailanalytics.com
113,Rubirizi,NULL,NULL,,13,"2014-07-14 11:02:44",samuel@trailanalytics.com
114,Sheema,NULL,NULL,,13,"2014-07-14 11:02:44",samuel@trailanalytics.com
122,Luwero,NULL,NULL,,6,"2015-12-06 19:08:22","admin: samuel@trailanalytics.com"
