id,district,hub,dhis2_name,dhis2_uid,mapCode,regionID,created,createdby
22,Dokolo,Dokolo,Dokolo District,wMQ25dybdgH,UG.DO,10,14/07/2014 11:02,samuel@trailanalytics.com
89,Gomba,maddu,Gomba District,lQj3yMM1lI7,,5,14/07/2014 11:02,samuel@trailanalytics.com
23,Gulu,Gulu,Gulu District,Gwk4wkLz7EW,UG.GL,10,14/07/2014 11:02,samuel@trailanalytics.com
24,Hoima,Hoima,Hoima District,PJFtfCyp6Rb,UG.HO,11,14/07/2014 11:02,samuel@trailanalytics.com
25,Ibanda,Ruhoko,Ibanda District,r8WLxW9JwsS,UG.IB,13,14/07/2014 11:02,samuel@trailanalytics.com
26,Iganga,iganga,Iganga District,oNxpMjveyZt,UG.IN,7,14/07/2014 11:02,samuel@trailanalytics.com
27,Isingiro,Rwekubo,Isingiro District,UaR7OHycj8c,UG.IS,13,14/07/2014 11:02,samuel@trailanalytics.com
28,Jinja,Jinja,Jinja District,aJR2ZxSH7g4,UG.JI,7,14/07/2014 11:02,samuel@trailanalytics.com
29,Kaabong,Kaabong,Kaabong District,eOJUW6OGpc7,UG.AB,12,14/07/2014 11:02,samuel@trailanalytics.com
30,Kabale,Kabale,Kabale District,zBIpPzKYFLp,UG.KA,13,14/07/2014 11:02,samuel@trailanalytics.com
31,Kabarole,Fort Portal,Kabarole District,m77oR1YJESj,UG.BR,11,14/07/2014 11:02,samuel@trailanalytics.com
32,Kaberamaido,Kaberamaido,Kaberamaido District,QoRZB7xc3j9,UG.KD,12,14/07/2014 11:02,samuel@trailanalytics.com
33,Kalangala,Kalangala,Kalangala District,JrHILmtK0OU,UG.KN,5,14/07/2014 11:02,samuel@trailanalytics.com
34,Kaliro,Bumanya,Kaliro District,kJCEJnXLgnh,UG.RO,7,14/07/2014 11:02,samuel@trailanalytics.com
90,Kalungu,Masaka,Kalungu District,ahyi8Uq4vaj,,5,14/07/2014 11:02,samuel@trailanalytics.com
35,Kampala,CPHL,Kampala District,aXmBzv61LbM,UG.KM,8,14/07/2014 11:02,samuel@trailanalytics.com
36,Kamuli,Kamuli,Kamuli District,oyygQ2STBST,UG.KX,7,14/07/2014 11:02,samuel@trailanalytics.com
37,Kamwenge,Rukunyu,Kamwenge District,uCVQXAdKqL9,UG.KE,11,14/07/2014 11:02,samuel@trailanalytics.com
38,Kanungu,Kanungu,Kanungu District,aphcy5JTnd6,UG.UU,13,14/07/2014 11:02,samuel@trailanalytics.com
39,Kapchorwa,Kapchorwa,Kapchorwa District,aginheWSLef,UG.KP,9,14/07/2014 11:02,samuel@trailanalytics.com
40,Kasese,Kilembe Mines,Kasese District,aa8xVDzSpte,UG.KS,11,14/07/2014 11:02,samuel@trailanalytics.com
41,Katakwi,Katakwi,Katakwi District,cSrCFjPKqcG,UG.KK,12,14/07/2014 11:02,samuel@trailanalytics.com
42,Kayunga,Kayunga,Kayunga District,ykxQEnZGXkj,UG.KY,6,14/07/2014 11:02,samuel@trailanalytics.com
43,Kibaale,Kakindo,Kibaale District,tM3DsJxMaMX,UG.KI,11,14/07/2014 11:02,samuel@trailanalytics.com
44,Kiboga,Kiboga,Kiboga District,GLHh0BXys9w,UG.KG,6,14/07/2014 11:02,samuel@trailanalytics.com
95,Kibuku,Pallisa,Kibuku District,Oyxwe3iDqpR,,9,14/07/2014 11:02,samuel@trailanalytics.com
45,Kiruhura,Rushere,Kiruhura District,qf9xWZu7Dq8,UG.KH,13,14/07/2014 11:02,samuel@trailanalytics.com
110,Kiryandongo,Kiryandongo,Kiryandongo District,B0G9cqixld8,,11,14/07/2014 11:02,samuel@trailanalytics.com
46,Kisoro,Kisoro,Kisoro District,aPhSZRinfbg,UG.KR,13,14/07/2014 11:02,samuel@trailanalytics.com
47,Kitgum,Kitgum,Kitgum District,pnTVIF5v27r,UG.TG,10,14/07/2014 11:02,samuel@trailanalytics.com
48,Koboko,Koboko,Koboko District,iqsaGItA68C,UG.OK,14,14/07/2014 11:02,samuel@trailanalytics.com
104,Kole,Aber,Kole District,Y4LV8xqkv6J,,10,14/07/2014 11:02,samuel@trailanalytics.com
49,Kotido,Kotido,Kotido District,aPZzL4CyBTg,UG.KF,12,14/07/2014 11:02,samuel@trailanalytics.com
50,Kumi,Atutur,Kumi District,saT18HClZoz,UG.KU,12,14/07/2014 11:02,samuel@trailanalytics.com
96,Kween,Kapchorwa,Kween District,h1O9AvNR4jS,,9,14/07/2014 11:02,samuel@trailanalytics.com
91,Kyankwanzi,Ntwetwe,Kyankwanzi District,IVuiLJYABw6,,6,14/07/2014 11:02,samuel@trailanalytics.com
51,Kyegegwa,Kyegegwa,Kyegegwa District,a9tQqo1rSj7,,11,14/07/2014 11:02,samuel@trailanalytics.com
52,Kyenjojo,Kyenjojo,Kyenjojo District,O9MoQcpZ4uA,UG.KJ,11,14/07/2014 11:02,samuel@trailanalytics.com
53,Lamwo,Madi-Opei,Lamwo District,xy0M4HhjXtD,,10,14/07/2014 11:02,samuel@trailanalytics.com
54,Lira,Lira,Lira District,Lj8t70RYnEt,UG.LI,10,14/07/2014 11:02,samuel@trailanalytics.com
97,Luuka,Kamuli,Luuka District,hn1AlYtF1Pu,,7,14/07/2014 11:02,samuel@trailanalytics.com
122,Luwero,Luwero,Luwero District,tr9XWtYsL5P,,6,06/12/2015 19:08,admin: samuel@trailanalytics.com
92,Lwengo,Lyantonde,Lwengo District,aqpd0Y9eXZ2,,5,14/07/2014 11:02,samuel@trailanalytics.com
56,Lyantonde,Lyantonde,Lyantonde District,aPRNSGUR3vk,,5,14/07/2014 11:02,samuel@trailanalytics.com
57,Manafwa,Tororo,Manafwa District,JIZDvNlIhXS,UG.MF,9,14/07/2014 11:02,samuel@trailanalytics.com
58,Maracha-Terego,Arua,Maracha District,WyR8Eetj7Uw,UG.MH,14,14/07/2014 11:02,samuel@trailanalytics.com
59,Masaka,Masaka,Masaka District,bIONCoCnt3Q,UG.MA,5,14/07/2014 11:02,samuel@trailanalytics.com
60,Masindi,Masindi,Masindi District,xr8EMirOASp,UG.MC,11,14/07/2014 11:02,samuel@trailanalytics.com
61,Mayuge,Iganga,Mayuge District,mv4gKtY0qW8,UG.MG,7,14/07/2014 11:02,samuel@trailanalytics.com
62,Mbale,Mbale,Mbale District,yuo5ielNL7W,UG.ME,9,14/07/2014 11:02,samuel@trailanalytics.com
63,Mbarara,Mbarara,Mbarara District,auswb7JO9wY,UG.RR,13,14/07/2014 11:02,samuel@trailanalytics.com
111,Mitooma,Mitooma,Mitooma District,FLygHiUd2UW,,13,14/07/2014 11:02,samuel@trailanalytics.com
64,Mityana,Mityana,Mityana District,Q7PaNIbyZII,UG.TY,6,14/07/2014 11:02,samuel@trailanalytics.com
65,Moroto,Moroto,Moroto District,A9kRCvmn6Co,UG.MT,12,14/07/2014 11:02,samuel@trailanalytics.com
66,Moyo,Moyo,Moyo District,W0kQBddyGyh,UG.MY,14,14/07/2014 11:02,samuel@trailanalytics.com
67,Mpigi,Mpigi,Mpigi District,YMMexeHFUay,UG.MI,5,14/07/2014 11:02,samuel@trailanalytics.com
68,Mubende,Mubende,Mubende District,lzWuB6bCQeV,UG.MD,6,14/07/2014 11:02,samuel@trailanalytics.com
69,Mukono,CPHL,Mukono District,a0DfYpC2Rwl,UG.MN,6,14/07/2014 11:02,samuel@trailanalytics.com
70,Nakapiripirit,Tokora,Nakapiripirit District,VuHCApXcMTm,UG.NP,12,14/07/2014 11:02,samuel@trailanalytics.com
71,Nakaseke,Ngoma,Nakaseke District,aSbgVKaeCP0,UG.NK,6,14/07/2014 11:02,samuel@trailanalytics.com
72,Nakasongola,Nakasongola,Nakasongola District,aUcYGQCK9ub,UG.NA,6,14/07/2014 11:02,samuel@trailanalytics.com
98,Namayingo,Buyinja,Namayingo District,Ut0ysYGEipO,,7,14/07/2014 11:02,samuel@trailanalytics.com
73,Namutumba,Iganga,Namutumba District,esIUe2tQAtL,UG.NM,7,14/07/2014 11:02,samuel@trailanalytics.com
105,Napak,Matany,Napak District,EDhGji3EteB,,12,14/07/2014 11:02,samuel@trailanalytics.com
74,Nebbi,Nebbi,Nebbi District,Xjc0LDFa5gW,UG.NE,14,14/07/2014 11:02,samuel@trailanalytics.com
99,Ngora,Ngora,Ngora District,aj4hsYK3dVm,,12,14/07/2014 11:02,samuel@trailanalytics.com
112,Ntoroko,Fort Portal,Ntoroko District,z8D9ER36EKN,,11,14/07/2014 11:02,samuel@trailanalytics.com
75,Ntungamo,Itojo,Ntungamo District,hAoe9dhZh9V,UG.NT,13,14/07/2014 11:02,samuel@trailanalytics.com
106,Nwoya,Anaka,Nwoya District,zNgVoDVPYgD,,10,14/07/2014 11:02,samuel@trailanalytics.com
107,Otuke,Alebtong,Otuke District,aXjub1BYn1y,,10,14/07/2014 11:02,samuel@trailanalytics.com
77,Oyam,Aber,Oyam District,xpIFdCMhVHG,UG.OY,10,14/07/2014 11:02,samuel@trailanalytics.com
78,Pader,Pajule,Pader District,aBrjuZk0W31,UG.PD,10,14/07/2014 11:02,samuel@trailanalytics.com
79,Pallisa,Pallisa,Pallisa District,WiVj4bEhX4P,UG.PL,9,14/07/2014 11:02,samuel@trailanalytics.com
80,Rakai,Rakai,Rakai District,P8iz90eiIrW,UG.RA,5,14/07/2014 11:02,samuel@trailanalytics.com
113,Rubirizi,Rugazi,Rubirizi District,fS71jg1WYPk,,13,14/07/2014 11:02,samuel@trailanalytics.com
81,Rukungiri,Nyakibale,Rukungiri District,tugqr4dY6wq,UG.RK,13,14/07/2014 11:02,samuel@trailanalytics.com
100,Serere,Serere,Serere District,zJfpujxC1kD,,12,14/07/2014 11:02,samuel@trailanalytics.com
114,Sheema,Ruhoko,Sheema District,xAJgEKKAeRA,,13,14/07/2014 11:02,samuel@trailanalytics.com
83,Sironko,Budadiri,Sironko District,wJ2a6YKDFZW,UG.SI,9,14/07/2014 11:02,samuel@trailanalytics.com
84,Soroti,Soroti,Soroti District,srmGjHrpVE5,UG.SR,12,14/07/2014 11:02,samuel@trailanalytics.com
82,Ssembabule,Sembabule,Sembabule District,j7AQsnEYmvi,UG.SE,5,14/07/2014 11:02,samuel@trailanalytics.com
85,Tororo,Tororo,Tororo District,KhT80mlwJ3Y,UG.TR,9,14/07/2014 11:02,samuel@trailanalytics.com
86,Wakiso,Entebbe,Wakiso District,aIahLLmtvgT,UG.WA,5,14/07/2014 11:02,samuel@trailanalytics.com
87,Yumbe,Yumbe,Yumbe District,W1JM2Qdhcv3,UG.YU,14,14/07/2014 11:02,samuel@trailanalytics.com
108,Zombo,Warr,Zombo District,A4aGXEfdb8P,,14,14/07/2014 11:02,samuel@trailanalytics.com
